GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sprint4,default,Account,0,22,0,6,0,8,0,5,0,2
Sprint4,default,Praktikum,12,0,0,0,4,0,2,0,2,0
